Title,Full Address,Latitude,Longitude,Group,Marche,Address,City,State,Zipcode
Polinelli,V. Roma 57 Daverio (VA) Lombardia Italy 21020 ,45.7731767,8.772593,Fabbrica,Marche,V. Roma 57,Daverio (VA) Lombardia,Italy,21020
Scarpe&Scarpe - Sant'Angelo Lodigiano,V.Trento 17 S.Angelo Lodigiano (LO) Lombardia Italy 26866 ,45.2321992,9.4120793,"CC""Il Castello""",Marche,V.Trento 17,S.Angelo Lodigiano (LO) Lombardia,Italy,26866
Scarpe&Scarpe - Roveredo in Piano PC Semeraro Ovvio,V.Pionieri dell'Aria 86/D Roveredo in Piano (PN) Friuli Italy 33080 ,46.0212512,12.6213651,,Marche,V.Pionieri dell'Aria 86/D,Roveredo in Piano (PN) Friuli,Italy,33080
Scarpe&Scarpe - San Dona',Galleria Piave 2 San Dona' (VE) Veneto Italy 30027 ,45.61563,12.5773,"CC""Piave""",Marche,Galleria Piave 2,San Dona' (VE) Veneto,Italy,30027
Scarpe&Scarpe - Giacciano,V.Scavazza 17/69 Int.12 Giacciano Barruchell (RO) Veneto Italy 45020 ,45.0668335,11.4536811,"CC""Il Faro""",Marche,V.Scavazza 17/69 Int.12,Giacciano Barruchell (RO) Veneto,Italy,45020
Scarpe&Scarpe - Soliera,S.S.Modena Carpi 290 Soliera (MO) EmiliaRomagna Italy 41019 ,44.7275127,10.9016401,"CC""Le Gallerie""",Marche,S.S.Modena Carpi 290,Soliera (MO) EmiliaRomagna,Italy,41019
Scarpe&Scarpe - Orio al Serio,V.Portico 71 Orio al Serio (BG) Lombardia Italy 24050 ,45.6641374,9.6948233,"CC""Orio Center""",Marche,V.Portico 71,Orio al Serio (BG) Lombardia,Italy,24050
Scarpe&Scarpe - Marcon,V.Mattei 1/C Int. 64/2 Marcon (VE) Veneto Italy 30020 ,45.5458176,12.3048881,"CC""Valecenter""",Marche,V.Mattei 1/C Int. 64/2,Marcon (VE) Veneto,Italy,30020
Scarpe&Scarpe - Castelvetro Piacentino,Loc.Fornace 1 Castelvetro P.no (PC) Emilia Romagna Italy 29010 ,45.095675,9.975657,"CC""Verbena""",Marche,Loc.Fornace 1,Castelvetro P.no (PC) Emilia Romagna,Italy,29010
Scarpe&Scarpe - Viadana,V.Grazzi Soncini 68/70/72 Viadana (MN) Lombardia Italy 46019 ,44.93987,10.53714,"CC""Il Parco""",Marche,V.Grazzi Soncini 68/70/72,Viadana (MN) Lombardia,Italy,46019
Scarpe&Scarpe - Rovigo,Via Porta Po 193/195 Località Borsea Rovigo (RO) Veneto Italy 45100 ,45.0299946,11.7794441,"CC""La Fattoria""",Marche,V.Porta Po 193/195 Loc.Borsea,Rovigo (RO) Veneto,Italy,45100
Scarpe&Scarpe - Milano,V.Antonini 26 Milano (MI) Lombardia Italy 20100 ,45.4366498,9.1916674,,Marche,V.Antonini 26,Milano (MI) Lombardia,Italy,20100
Scarpe&Scarpe - Vicenza,S.Padana verso Padova 60 Vicenza (VI) Veneto Italy 36100 ,45.5302333,11.5949525,"CC""Palladio""",Marche,S.Padana verso Padova 60,Vicenza (VI) Veneto,Italy,36100
Scarpe&Scarpe - Pioltello,V.S.Francesco 31/A Pioltello (MI) Lombardia Italy 20096 ,45.5028683,9.3233371,,Marche,V.S.Francesco 31/A,Pioltello (MI) Lombardia,Italy,20096
Scarpe&Scarpe - Mestre,Via Don Tosatto  MESTRE (VE) Veneto Italy 30174 ,45.5107979,12.2296073,"CC""Auchan Mestre""",Marche,V.Don Tosatto SNC,MESTRE (VE) Veneto,Italy,30174
Scarpe&Scarpe - Stezzano,V. Guzzanica 62 STEZZANO (BG) Lombardia Italy 24040 ,45.6478292,9.6299603,"CC""Le Due Torri""",Marche,V. Guzzanica 62,STEZZANO (BG) Lombardia,Italy,24040
Scarpe&Scarpe - Busnago,"V. Italia, 215 Busnago (MI) Lombardia Italy 20874 ",45.6192785,9.4764562,"CC""Globo""",Marche,"V. Italia, 215",Busnago (MI) Lombardia,Italy,20874
Scarpe&Scarpe - San Giuliano Milanese,V. Della Pace 5 S. Giuliano Milanese (MI) Lombardia Italy 20098 ,45.3830886,9.3076293,"CC""Le Cupole""",Marche,V. Della Pace 5,S. Giuliano Milanese (MI) Lombardia,Italy,20098
Scarpe&Scarpe - Paderno Dugnano,Loc. Serviane PADERNO DUGNANO (MI) Lombardia Italy 20037 ,45.58129,9.17531,"CC""Brianza""",Marche,Loc. Serviane,PADERNO DUGNANO (MI) Lombardia,Italy,20037
Scarpe&Scarpe - Rozzano,V. Curiel 25 ROZZANO (MI) Lombardia Italy 20089 ,45.3897476,9.176735,"CC""Fiordaliso""",Marche,V. Curiel 25,ROZZANO (MI) Lombardia,Italy,20089
Scarpe&Scarpe - Milano,C.so S.Gottardo 29/31 Milano (MI) Lombardia Italy 20136 ,45.4493802,9.1799525,,Marche,C.so S.Gottardo 29/31,Milano (MI) Lombardia,Italy,20136
Scarpe&Scarpe - Sesto San Giovanni,Via Milanese Sesto S.Giovanni (MI) Lombardia Italy 20099 ,45.5298233,9.2167341,"CC""Centrosarca""",Marche,Via Milanese snc,Sesto S.Giovanni (MI) Lombardia,Italy,20099
Scarpe&Scarpe - Calenzano,V.Dino Ciolli 6/8 Calenzano (FI) Toscana Italy 50041 ,43.852372,11.166143,"CC""Franceschini""",Marche,V.Dino Ciolli 6/8,Calenzano (FI) Toscana,Italy,50041
Scarpe&Scarpe - Firenze,V. Pistoiese 285/287 Firenze (FI) Toscana Italy 50145 ,43.7931582,11.1791736,"CC""Via Pistoiese""",Marche,V. Pistoiese 285/287,Firenze (FI) Toscana,Italy,50145
Scarpe&Scarpe - Roma,V.Ferri 8 Roma (RM) Lazio Italy 173 ,41.8509945,12.5990622,"CC""La Romanina""",Marche,V.Ferri 8,Roma (RM) Lazio,Italy,173
Scarpe&Scarpe - Roma,V.le Marconi 37/77/79 Roma (RM) Lazio Italy 146 ,41.8685957,12.4681733,,Marche,V.le Marconi 37/77/79,Roma (RM) Lazio,Italy,146
Scarpe&Scarpe - Chieti Scalo,Loc. S.Filomena Chieti Scalo (CH) Abruzzo Italy 66100 ,42.343764,14.126969,"CC""Megalo'""",Marche,Loc. S.Filomena,Chieti Scalo (CH) Abruzzo,Italy,66100
Scarpe&Scarpe - Fiumicino,V.le Bramante Fiumicino (RM) Lazio Italy 54 ,41.7973449,12.297286,"CC""Parco Leonardo""",Marche,V.le Bramante,Fiumicino (RM) Lazio,Italy,54
Scarpe&Scarpe - Giugliano in Campania,Circ. Esterna Giugliano Campania (NA) Campania Italy 80014 ,40.9318031,14.1039785,"CC""Auchan""",Marche,Circ. Esterna,Giugliano Campania (NA) Campania,Italy,80014
Scarpe&Scarpe - Castel Romano,V. Ponte di Piscina Cupa Castel Romano (RO) Lazio Italy 128 ,41.717714,12.4470162,"CC""Shopping Village""",Marche,V. Ponte di Piscina Cupa,Castel Romano (RO) Lazio,Italy,128
Scarpe&Scarpe - Roma,V.Torre di Mezzavia 35 Roma (RM) Lazio Italy 173 ,41.8383045,12.594352,"CC""Anagnina""",Marche,V.Torre di Mezzavia 35,Roma (RM) Lazio,Italy,173
Scarpe&Scarpe - Roma,V. M.Pandolfi De Rinaldis 28 ROMA (RM) Lazio Italy 173 ,41.8431785,12.6210838,"CC""Tor Vergata""",Marche,V. M.Pandolfi De Rinaldis 28,ROMA (RM) Lazio,Italy,173
Scarpe&Scarpe - Roma,Via dei Sampieri 92 Roma (RM) Lazio Italy 148 ,41.8526309,12.4165488,"CC""Casetta Mattei"" - Unità 23",Marche,Via dei Sampieri 92,Roma (RM) Lazio,Italy,148
Aley Scarpe&Scarpe - Roma Tuscolana,"Via Tuscolana, 815 Roma (RM) Lazio Italy 179 ",41.8591765,12.558596,,Marche,"Via Tuscolana, 815",Roma (RM) Lazio,Italy,179
Scarpe&Scarpe - Bastia Umbra,V.S.Padre Pio 25 Bastia Umbra (PG) Umbria Italy 6080 ,43.081135,12.4943716,,Marche,V.S.Padre Pio 25,Bastia Umbra (PG) Umbria,Italy,6080
Scarpe&Scarpe - Salerno,V.S.Leonardo 49 Salerno (SA) Campania Italy 84100 ,40.6522506,14.820382,,Marche,V.S.Leonardo 49,Salerno (SA) Campania,Italy,84100
Scarpe&Scarpe - Cascina,V. Oristano 201 Loc.Navacchio CASCINA (PI) Toscana Italy 56021 ,43.678487,10.476365,,Marche,V. Oristano 201 Loc.Navacchio,CASCINA (PI) Toscana,Italy,56021
Scarpe&Scarpe - Marcianise,"Strada Statale, 87 Loc. Aurno MARCIANISE (CE) Campania Italy 81025 ",41.0037699,14.3280957,"CC""Campania""",Marche,"Strada Statale, 87 Loc. Aurno",MARCIANISE (CE) Campania,Italy,81025
Scarpe&Scarpe - Foligno,Strada Statale 3 Flaminia FOLIGNO (PG) Umbria Italy 6034 ,42.9838579,12.7239332,,Marche,SS 3 Flaminia KM 147,FOLIGNO (PG) Umbria,Italy,6034
Scarpe&Scarpe - Montecatini,V. Biscolla 48 MASSA E COZZILE (PT) Toscana Italy 51010 ,43.8613281,10.7648985,"CC""Montecatini""",Marche,V. Biscolla 48,MASSA E COZZILE (PT) Toscana,Italy,51010
Scarpe&Scarpe - Campi Bisenzio,V. Fratelli Cervi 24-26 Campi Bisenzio (FI) Toscana Italy 50013 ,43.8457658,11.1403639,,Marche,V. Fratelli Cervi 24-26,Campi Bisenzio (FI) Toscana,Italy,50013
Scarpe&Scarpe - Civitanova Marche,"Via S. Costantino, 98 Civitanova Marche (MC) Marche Italy 62012 ",43.2936285,13.7009709,"CC""Il Cuore Adriatico""",Marche,"Via S. Costantino, 98",Civitanova Marche (MC) Marche,Italy,62012
